ID,开发,开发日期,面料,品类,开发季度,周期,图片路径
"1757645339434","测试","2025-09-11","纯棉","上衣","春夏","第一周","uploads/img/image_1757656250620.jpg"
"1757647128067","kedan","2025-09-12","纯棉","上衣","春夏","09/01-09/07","uploads/img/image_1757647128067.jpg"
"1757649551776","测试","2025-09-12","衬衫料","上衣","春夏","09/01-09-07","uploads/img/image_1757649551776.jpg"
"1757656014215","kd","2025-09-12","毛织","上衣","秋冬","09/01-09-07","uploads/img/image_1757656014215.jpg"
"1757656461006","kd","2025-09-12","xxx","外套","秋冬","09/01-09-07","uploads/img/image_1757656461006.jpg"
"1757656489662","kd","2025-09-12","xxx","半裙","春夏","09/01-09-07","uploads/img/image_1757656489662.jpg"
"1757656509206","kd","2025-09-12","xxx","裤子","秋冬","测试11","uploads/img/image_1757656509206.jpg"
"1757663624151","test1","2025-09-12","彩棉","上衣","春夏","09/01-09/07","uploads/img/image_1757663666403.jpg"
"1757663624152","test2","2025-09-11","瑜伽料","连体衣","春夏","09/01-09/07","uploads/img/image_1757663686843.jpg"
"1757663624153","test3","2025-09-11","缎面","连衣裙","春夏","09/01-09/07","uploads/img/image_1757663704133.jpg"
"1757666614916","wasd","45911","彩棉","上衣","春夏","12/29-01/04",""
"1757666614917","wasd","45911","瑜伽料","连体衣","春夏","12/29-01/04",""
"1757666614918","wasd","45911","缎面","连衣裙","春夏","12/29-01/04",""
"1757666614923","wasd","45911","彩棉","上衣","春夏","12/29-01/04",""
"1757666614924","wasd","45911","瑜伽料","连体衣","春夏","12/29-01/04",""
"1757666614925","wasd","45911","缎面","连衣裙","春夏","12/29-01/04",""
